2025-06-01 14:43:42 Line: 11, : Request start: ::1
2025-06-01 15:51:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:51:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:51:08 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:51:08 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:51:08 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:51:28 Line: 11, : Request start: ::1
2025-06-01 15:51:28 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:51:29 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:51:29 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:51:29 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:51:29 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:52:06 Line: 11, : Request start: ::1
2025-06-01 15:52:06 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:52:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:52:07 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:52:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:52:07 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:52:57 Line: 11, : Request start: ::1
2025-06-01 15:52:57 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:52:57 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:52:58 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:52:58 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:52:58 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:54:03 Line: 11, : Request start: ::1
2025-06-01 15:54:04 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:54:04 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:54:04 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:54:04 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:54:04 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:54:21 Line: 11, : Request start: ::1
2025-06-01 15:54:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:54:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:54:22 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:54:22 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:54:22 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:55:04 Line: 11, : Request start: ::1
2025-06-01 15:55:05 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:55:21 Line: 11, : Request start: ::1
2025-06-01 15:55:22 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:55:22 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:55:22 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:55:22 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:55:22 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 15:56:20 Line: 11, : Request start: ::1
2025-06-01 15:56:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 15:56:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 15:56:21 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 15:56:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 15:56:21 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:04:42 Line: 11, : Request start: ::1
2025-06-01 16:06:15 Line: 11, : Request start: ::1
2025-06-01 16:06:15 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:06:15 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:06:16 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 16:06:16 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 16:06:16 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:08:36 Line: 11, : Request start: ::1
2025-06-01 16:08:37 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:08:37 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:08:37 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 16:08:37 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 16:08:37 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:08:58 Line: 11, : Request start: ::1
2025-06-01 16:08:59 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:08:59 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:08:59 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 16:08:59 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 16:09:00 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:09:55 Line: 11, : Request start: ::1
2025-06-01 16:09:55 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:11:28 Line: 11, : Request start: ::1
2025-06-01 16:11:28 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:11:46 Line: 11, : Request start: ::1
2025-06-01 16:11:47 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:12:38 Line: 11, : Request start: ::1
2025-06-01 16:12:50 Line: 11, : Request start: ::1
2025-06-01 16:12:50 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:12:50 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:12:50 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 16:12:51 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 16:12:51 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:13:18 Line: 11, : Request start: ::1
2025-06-01 16:13:35 Line: 11, : Request start: ::1
2025-06-01 16:13:36 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:13:36 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:13:37 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 16:13:37 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 16:13:37 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:14:05 Line: 11, : Request start: ::1
2025-06-01 16:14:05 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:14:05 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:14:05 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 16:14:05 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 16:14:05 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:15:29 Line: 11, : Request start: ::1
2025-06-01 16:15:29 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:15:29 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:15:29 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 16:15:29 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 16:15:29 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:16:01 Line: 11, : Request start: ::1
2025-06-01 16:16:01 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:16:02 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:16:02 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
2025-06-01 16:16:02 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 60
2025-06-01 16:16:02 Line: 68, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: DOSTAWA123
2025-06-01 16:18:54 Line: 11, : Request start: ::1
2025-06-01 16:18:54 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:18:54 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:23:26 Line: 11, : Request start: ::1
2025-06-01 16:23:27 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:23:27 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:24:20 Line: 11, : Request start: ::1
2025-06-01 16:24:20 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:24:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:24:55 Line: 11, : Request start: ::1
2025-06-01 16:24:56 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:24:56 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:25:21 Line: 11, : Request start: ::1
2025-06-01 16:25:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:25:21 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:26:12 Line: 11, : Request start: ::1
2025-06-01 16:26:12 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:26:12 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:30:16 Line: 11, : Request start: ::1
2025-06-01 16:30:17 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:30:17 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:36:38 Line: 11, : Request start: ::1
2025-06-01 16:36:38 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:36:38 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:37:18 Line: 11, : Request start: ::1
2025-06-01 16:37:18 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 101
2025-06-01 16:37:18 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2025-06-01 16:37:18 Line: 71, APISubiektGT\SubiektGT\Order->addPosition: Dodaje pozycje o kodzie: A_OLEJ
